rank,name,symbol,primary_trend,alignment_score,bullish_timeframes,bearish_timeframes,15m_pct,15m_trend,30m_pct,30m_trend,1h_pct,1h_trend,4h_pct,4h_trend,12h_pct,12h_trend,1d_pct,1d_trend,1w_pct,1w_trend
7,USDC,USDC,Bearish,71.42857142857143,2,5,-0.013560803983117918,Neutral,-0.007718178097619245,Neutral,-0.025869446999539233,Neutral,-0.039003568675904016,Neutral,-0.011196531265059586,Neutral,0.016714146597122434,Neutral,0.0348767804075704,Neutral
8,TRON,TRX,Bearish,71.42857142857143,2,5,0.06621185645065396,Neutral,0.1002680617795677,Neutral,-0.17991578594911747,Neutral,-2.4404923320731893,Neutral,-4.66941515476899,Neutral,-8.387389407320162,Slightly Bearish,-1.27190353236473,Neutral
1,Bitcoin,BTC,Bearish,57.14285714285714,3,4,0.8590039758824994,Neutral,1.4292835954024383,Neutral,1.6330098245368376,Neutral,-2.163947973988649,Neutral,-10.28424165852915,Bearish,-14.69756087889432,Bearish,-13.382020800334049,Bearish
2,Ethereum,ETH,Bearish,57.14285714285714,3,4,0.5169469004668459,Neutral,0.9091997330421857,Neutral,0.9547126352819011,Neutral,-3.4180819694304283,Neutral,-13.525475539853923,Bearish,-19.574680099204787,Bearish,-14.18108922180151,Bearish
4,XRP,XRP,Bearish,57.14285714285714,3,4,1.3456357442800788,Neutral,2.4721479787235574,Neutral,3.3526804811755726,Neutral,-0.4379511875439447,Neutral,-7.859067923889788,Slightly Bearish,-12.755473649508897,Bearish,-10.846178704142655,Bearish
5,BNB,BNB,Bullish,57.14285714285714,4,3,0.508597119337691,Neutral,0.9136595552386386,Neutral,0.8691266483366791,Neutral,-2.7737399869249386,Neutral,-10.321017778486917,Bearish,-14.148953067788634,Bearish,4.927401229772597,Neutral
6,Solana,SOL,Bearish,57.14285714285714,3,4,1.0071550472447268,Neutral,1.734984123869467,Neutral,1.9022736230012722,Neutral,-1.2102503082340728,Neutral,-12.668643330162265,Bearish,-20.478119018642108,Very Bearish,-24.942455109689078,Very Bearish
10,Dogecoin,DOGE,Bearish,57.14285714285714,3,4,1.2616924474956892,Neutral,2.187194099274657,Neutral,2.410355850946585,Neutral,-2.2107696344469034,Neutral,-11.037884286316627,Bearish,-18.94753686402557,Bearish,-29.01937209420078,Very Bearish
