rank,name,symbol,primary_trend,alignment_score,bullish_timeframes,bearish_timeframes,15m_pct,15m_trend,30m_pct,30m_trend,1h_pct,1h_trend,4h_pct,4h_trend,12h_pct,12h_trend,1d_pct,1d_trend,1w_pct,1w_trend
7,USDC,USDC,Bearish,71.42857142857143,2,5,-0.014690234376223797,Neutral,-0.00841822130468529,Neutral,-0.017320694805391695,Neutral,-0.0328780281904707,Neutral,-0.011196531265059586,Neutral,0.016714146597122434,Neutral,0.0348767804075704,Neutral
8,TRON,TRX,Bearish,71.42857142857143,2,5,0.17912940170041652,Neutral,0.20778581875741803,Neutral,-0.08413471213604935,Neutral,-2.4856636461059893,Neutral,-4.569419198154654,Neutral,-8.291147673325066,Slightly Bearish,-1.1684872810578304,Neutral
1,Bitcoin,BTC,Bearish,57.14285714285714,3,4,1.110013614392785,Neutral,1.6595214684288448,Neutral,1.8803550008236845,Neutral,-2.134525678944593,Neutral,-10.120795821318477,Bearish,-14.541876047361802,Bearish,-13.22401951934741,Bearish
2,Ethereum,ETH,Bearish,57.14285714285714,3,4,0.7286366808797526,Neutral,1.1142908536887328,Neutral,1.1622874918734534,Neutral,-3.4032011685193604,Neutral,-13.373125432972078,Bearish,-19.42988631414724,Bearish,-14.026923127070484,Bearish
4,XRP,XRP,Bearish,57.14285714285714,3,4,1.4361783947780178,Neutral,2.55433674992002,Neutral,3.4730967303482414,Neutral,-0.5099256098473133,Neutral,-7.876178444581599,Slightly Bearish,-12.767648776977575,Bearish,-10.85861063288165,Bearish
5,BNB,BNB,Bullish,57.14285714285714,4,3,0.6624295165541835,Neutral,1.0583207374165653,Neutral,1.0121492678612583,Neutral,-2.8118228983984075,Neutral,-10.22132207869344,Bearish,-14.05434067928179,Bearish,5.0421405901126,Slightly Bullish
6,Solana,SOL,Bearish,57.14285714285714,3,4,1.4136465812787375,Neutral,2.118665580103909,Neutral,2.293982768886508,Neutral,-0.9873887836563644,Neutral,-12.420514560555539,Bearish,-20.251460261323462,Very Bearish,-24.728133212660296,Very Bearish
10,Dogecoin,DOGE,Bearish,57.14285714285714,3,4,1.4422686329107133,Neutral,2.350893407610335,Neutral,2.5841340730019344,Neutral,-2.2009849929950787,Neutral,-10.95602235015803,Bearish,-18.8512967386351,Bearish,-28.93474684467382,Very Bearish
